index,fungus,count
1633963F1628712,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Hirsutella;s__Hirsutella_vermicola;sh__SH1005053.10FU,508.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Hirsutella;s__Hirsutella_vermicola;sh__SH1005053.10FU,189.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Lecanicillium;s__Lecanicillium_dimorphum;sh__SH1457867.10FU,75.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Lecanicillium;s__Lecanicillium_dimorphum;sh__SH1457867.10FU,45.0
1633957F1628706,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Leptobacillium;s__Leptobacillium_chinense;sh__SH1906423.10FU,7928.0
1633959F1628708,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Leptobacillium;s__Leptobacillium_chinense;sh__SH1906423.10FU,122.0
1633960F1628709,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Leptobacillium;s__Leptobacillium_chinense;sh__SH1906423.10FU,9.0
1633961F1628710,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Leptobacillium;s__Leptobacillium_chinense;sh__SH1906423.10FU,32.0
1633962F1628711,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Leptobacillium;s__Leptobacillium_chinense;sh__SH1906423.10FU,19.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Botryotrichum;__;__,3107.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Botryotrichum;__;__,475.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium;s__Chaetomium_sp;sh__SH0941593.10FU,245.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium;s__Chaetomium_sp;sh__SH0941593.10FU,309.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Madurella;s__Madurella_pseudomycetomatis;sh__SH0978506.10FU,213.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Madurella;s__Madurella_pseudomycetomatis;sh__SH0978506.10FU,92.0
1633957F1628706,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_oxysporum;__,114.0
1633958F1628707,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_oxysporum;__,52.0
1633961F1628710,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_oxysporum;__,109.0
1633962F1628711,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_oxysporum;__,92.0
1633957F1628706,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;__;__;__,104.0
1633958F1628707,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;__;__;__,312.0
1633959F1628708,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;__;__;__,11318.0
1633960F1628709,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;__;__;__,10395.0
1633961F1628710,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;__;__;__,7328.0
1633962F1628711,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;__;__;__,6932.0
1633961F1628710,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;__;__;__;__,13.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;__,9.0
1633961F1628710,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Scopulariopsis;__;__,291.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Scopulariopsis;__;__,48.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Microascus;s__Microascus_restrictus;sh__SH1300588.10FU,10063.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Microascus;s__Microascus_restrictus;sh__SH1300588.10FU,92.0
1633959F1628708,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;__;__;__,129.0
1633960F1628709,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;__;__;__,75.0
1633961F1628710,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;__;__;__,2118.0
1633962F1628711,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;__;__;__,148.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;__;__;__,90.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;__;__;__,38.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Parascedosporium;s__Parascedosporium_putredinis;sh__SH0970634.10FU,38.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Parascedosporium;s__Parascedosporium_putredinis;sh__SH0970634.10FU,7.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Enterocarpus;s__Enterocarpus_grenotii;sh__SH0742521.10FU,451.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Enterocarpus;s__Enterocarpus_grenotii;sh__SH0742521.10FU,175.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Kernia;__;__,9.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Microascaceae_gen_Incertae_sedis;s__Microascaceae_sp;sh__SH0742507.10FU,1010.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Microascaceae_gen_Incertae_sedis;s__Microascaceae_sp;sh__SH0742507.10FU,558.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;sh__SH0742514.10FU,90.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;sh__SH0742514.10FU,167.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Kernia;s__Kernia_nitida;sh__SH0742506.10FU,5547.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Kernia;s__Kernia_nitida;sh__SH0742506.10FU,7115.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Kernia;s__Kernia_columnaris;sh__SH1063894.10FU,911.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Kernia;s__Kernia_columnaris;sh__SH1063894.10FU,222.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Eurotiomycetes;__;__;__;__;__,153.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Eurotiomycetes;__;__;__;__;__,43.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Teratosphaeriaceae_gen_Incertae_sedis;s__Teratosphaeriaceae_sp;sh__SH0950070.10FU,36.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Incertomyces;s__Incertomyces_sp;sh__SH0950092.10FU,4.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Incertomyces;s__Incertomyces_sp;sh__SH0950092.10FU,11.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Neodevriesiaceae;g__Neodevriesia;__;__,35.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Neodevriesiaceae;g__Neodevriesia;__;__,18.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_ord_Incertae_sedis;f__Dothideomycetes_fam_Incertae_sedis;g__Pseudoarthrographis;s__Pseudoarthrographis_sp;__,6.0
1633963F1628712,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariaceae;g__Sordaria;s__Sordaria_fimicola;sh__SH1742721.10FU,27.0
1633964F1628713,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariaceae;g__Sordaria;s__Sordaria_fimicola;sh__SH1742721.10FU,29.0
1633963F1628712,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Serendipitaceae;g__Serendipita;s__Serendipita_sp;sh__SH0743662.10FU,3.0
